,Requirement ID,Functional Capability - Level 1,Functional Capability - Level 2,Approval Workflow Process Step,Requirement Description,Priority,Requirement Reference,ABC Function Map,Module,Response Type,Comments,Vendor Score,DMS Interaction
,239,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a transaction/project contractual structure page with pre-defined layouts, tables, images, text areas, etc.. The system should be able to reuse the transaction/project contractual structure page created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,240,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a project agreements page with pre-defined layouts, tables, images, text areas, etc.. The system should be able to reuse the project agreements page created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,241,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a major project parties page with pre-defined layouts, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration) and should be able to reuse the major project parties page created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,242,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a summary financials page with pre-defined layouts, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration) and should be able to reuse the summary financials page created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,243,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a key terms and conditions and ABC rationale page with pre-defined layouts, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,244,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a model & sensitivity analysis page with pre-defined layouts, tables, images, text areas, etc.. The system should be able to reuse the project financials and sensitivity analysis page's content created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,245,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create the risk assessment page with pre-defined layouts, tables, images, text areas, etc.. The system should be able to reuse the risk assessment page's content created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,246,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create an optional page (means and purpose test) with pre-defined layouts, tables, images, questionnaires, text areas, etc.. The system should be able to reuse the means and purpose test page created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,247,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a risk based pricing and market sounding page with pre-defined layouts, tables, images, text areas, etc.. The system should be able to reuse the risk based pricing and market sounding additional page created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,248,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create an approval request page with pre-defined layouts, tables, text areas, etc.. ",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,249,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,- Ability to add the Sign-offs page and other required pages to the Transaction Assessment Memo from the Green Light Memo,Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,250,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to download the Transaction Assessment Memo in MS PowerPoint, PDF or MS Word format. The system should ensure separate formatting for both MS PowerPoint and Word file formats of the Transaction Assessment Memo",Must Have,Workshop,Investment,,,,,N
,251,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create additional pages as per requirement with different shapes, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration).",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,252,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to link any document in the Document Management System from any page and directly access the document. Ability to add any additional document to the list (through drop-down) and upload the document in DMS. Ability to upload full Transaction Assessment Memo in Document Management System before/after approval.,Must Have,Industry Standard,Investment,,,,,Y
,253,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"Ability to allow the users of the approval chain to view the document and simultaneously allow the originator of the document (Transaction Assessment Memo) to incorporate some changes (if the Transaction Assessment Memo is in ""draft""/""keep in view"" state) ",Must Have,Workshop,Investment,,,,,N
,254,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to send the Transaction Assessment Memo in MS PowerPoint and Word file formats to the users through email for offline review before submitting it for the Credit and Investment Management Committee endorsement ,Must Have,Workshop,Investment,,,,,N
,255,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"Ability to include an activity log for the Transaction Assessment Memo showing information related to date, created by, updated by, approved / rejected by, comments provided by, duration of each approval, etc.",Must Have,Workshop,Investment,,,,,N
,256,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to link all Transaction Assessment Memo related documents into a logical file group,Must Have,Workshop,Investment,,,,,Y
,257,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"Ability to search any Transaction Assessment Memo based on different parameter values e.g. workflow Id, document name, etc. ",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,258,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to send notifications to the Risk team for risk opinion on the Green Light Memo,Must Have,Workshop,Investment,,,,,N
,259,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to review the Transaction Assessment Memo in draft state ,Must Have,Workshop,Risk,,,,,N
,260,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to upload financial statement data through a pre-defined excel file,Must Have,Workshop,Risk,,,,,N
,261,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to upload pricing details through a pre-defined excel file,Must Have,Workshop,Risk,,,,,N
,262,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to provide CRO/delegated risk team's opinion/endorsement/review comments on the specific section/page of the Transaction Assessment Memo and generate a PDF file for Risk Opinion. The PDF file should be an integral part of each workflow and should be uploaded / stored in a separate folder in the Document Management System.,Must Have,Workshop,Risk,,,,,Y
,263,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to send notifications to the Investment team once risk opinion/review comments are added to the Transaction Assessment Memo,Must Have,Workshop,Risk,,,,,N
,264,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to generate a Memo for arranging approval of different requests/waivers based on predefined template,Must Have,Workshop,Investment,,,,,N
,265,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,Ability to add/update/delete any attribute to the Transaction Assessment Memo template,Must Have,Industry Standard,Investment,,,,,N
,266,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"Ability to update the market intelligence tracker with attributes e.g. ""Source"", ""Date"", ""Link to Market Sounding Report"" (link of the document stored in Document Management System), ""Sector"", ""Investor and lender appetite/ticket size"", ""High-level pricing, structure, and terms"", ""Key risks and due diligence issues"", ""Project timeline"", etc. The system should provide a page for the user to aggregate market soundings and other market intelligence (research reports, expert opinions etc.) reports for a given Project being assessed based on the due diligence information",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Investment,,,,,N
,267,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,"Ability to update Due Diligence Questionnaires for the transaction with the list of required documents/deliverables and contents for each document/deliverable including attributes e.g. Source Document, Responsible, Document / Deliverable Name, Content, Status, Comments, Risk Type, Sub-Risk Type, etc. ",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Investment,,,,,N
,268,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,"Ability to populate Document / Deliverable Name, Content (mapped with Document / Deliverable), Risk Type and Sub-Risk Type (mapped with each Content) based on the guideline ",Must Have,Workshop,Investment,,,,,N
,269,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,Ability to update the status of the document automatically based on the documents uploaded for the transaction ,Must Have,Workshop,Investment,,,,,N
,270,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,Ability to validate if the list of documents is appropriately updated in due diligence questionnaires based on pre-defined guideline/metadata and prompt the user with the missing document name/s so the list can be updated,Must Have,Workshop,Investment,,,,,N
,271,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,Ability to add/update/delete any attribute and formula to the due diligence questionnaires,Must Have,Industry Standard,Investment,,,,,N
,272,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,"Ability to update Q&A and Issues List Tracker for the transaction with attributes e.g. Topic, Question / Issue, Answer, Comment, Date question raised, Date, etc. ",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Investment,,,,,N
,273,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,"Ability to add/update different topic categories for the Q&A and Issues e.g. Borrower information and analysis, Legal due diligence, etc.",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Investment,,,,,N
,274,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,Ability to add/update/delete any attribute and formula to the Q&A and Issues List Tracker,Must Have,Industry Standard,Investment,,,,,N
,275,Structuring,Transaction Structuring (TAM),22. Update Due Diligence Tracker ,Ability to track the Q&A and Issues based on the status of the individual Q&A and Issue,Must Have,Industry Standard,Investment,,,,,N
,276,Structuring,Transaction Structuring (TAM),23. Submit TAM for CIMC Endorsement ,Ability to submit the Transaction Assessment Memo through pre-defined workflow for Credit and Investment Management Committee endorsement,Must Have,ABC SP_CI Toolkit New Joiners_Mar2023_Draft.pdf,Investment,,,,,N
,277,Structuring,Transaction Structuring (TAM),23. Submit TAM for CIMC Endorsement ,Ability to send email notifications to the reviewer group once the Transaction Assessment Memo is submitted for CIMC's endorsement. ,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,278,Structuring,Transaction Structuring (TAM),24. Receive CIMC Endorsement ,Ability to provide CIMC's endorsement/comment on the Transaction Assessment Memo,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,279,Structuring,Transaction Structuring (TAM),24. Receive CIMC Endorsement ,Ability to send notifications to the Investment team once CIMC's endorsement is provided,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,280,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,Ability to submit the Transaction Assessment Memo through pre-defined workflow for the Executive Committee approval after Credit and Investment Management Committee endorsement,Must Have,ABC SP_CI Toolkit New Joiners_Mar2023_Draft.pdf,Investment,,,,,N
,281,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,"Ability to send email notifications to the reviewer group once the Transaction Assessment Memo is submitted for approval. The system should generate notifications for any state change (approve, reject, etc.) in the Transaction Assessment Memo approval cycle. The notification should be sent to all the users from the current user and down the approval chain",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,282,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,Ability to review the Transaction Assessment Memo by the executive users of the ExCom and provide approval. Electronic signature should be provided by each user in the respective placeholder for the signature. The system should provide a page for the user to capture the MoM from the review meeting (based on a pre-defined template) and should be able to upload the MoM in the Document Management System,Must Have,Workshop,"Business, Investment, Risk",,,,,Y
,283,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,Ability to provide a workflow process visualization/dashboard to show the current approval state and associated details (for multiple reviewers - completed review/pending review),Must Have,Workshop,"Business, Investment, Risk",,,,,N
,284,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,Ability to provide voting option during the approval cycle in case a consensus is required between the reviewers as per the defined criteria (Delegation of Authority). The system should be able to capture the voting results and should be able to document that as per predefined template for approval decision.,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,285,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,"Ability to configure the workflow users and groups (including submitters, reviewers and approvers) and workflow process steps as per requirement. The system should support the change of approval cycle automatically based on the approval level as per defined criteria (Delegation of Authority). The system should allow addition of approval stages beyond the approval level defined in the Delegation of Authority. The system should addition of independent advisors in the users/groups and maintain a repository of those names.",Must Have,Workshop,Investment,,,,,N
,286,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,Ability to assign a particulate workflow/task to a different user. Ability to define roles and permissions for the staff involved in the approval process,Must Have,Workshop,Investment,,,,,N
,287,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,Ability to generate a PDF file for approver comments capturing all comments and rationale provided by the approvers during the approval process of a document,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,288,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,"Ability to add approvers comments categorized as ""Actionable"" or ""Information"" etc. In the case of Actionable, the approver has to set a deadline for the ""Actionable"" comment. Upon approval, the system should generate a separate workflow for the ""Actionable"" comments and send an email notification to the Deal Team to reply to these comments before the deadline stipulated by the Approver.",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,289,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,Ability to generate a counterparty wise report showing all approver comments yet to be responded. The system should also generate a report entailing all approved covenants (Financial & Non-Financial).,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,290,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,"Ability to maintain a detailed history of all actions and changes in the system (users, groups, workflow steps, etc.) for compliance and audit trail",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,291,Structuring,Transaction Structuring (TAM),25. Submit TAM for ExCom Approval,"Ability to generate a report showing counterparty wise detail of all approved facilities, pricing, tenor, approved security/collateral against each facility, etc. after approval of the Transaction Assessment Memo ",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,,Execution,,,,,,,,,,,
,,Execution,Transaction Execution,,,,,,,,,,
,292,Execution,Transaction Execution,26. Confirmatory Due Diligence & Legal Review,Ability to send notifications to the Credit Administration Department and Legal Department for confirmatory due diligence and legal review. The sub-process is outside of the CRM and workflow solution,Must Have,Workshop,"Investment, Risk, Legal & Compliance, Finance",,,,,N
,293,Execution,Transaction Execution,27. Transaction Signing and Financial Closing ,Ability to update transaction status after transaction signing and financial closing. The system should provide the option to upload the closing document associated with the transaction ,Must Have,Workshop,"Investment, Risk, Legal & Compliance, Finance",,,,,N
,294,Execution,Transaction Execution,28. Prepare Transaction Summary Memo,"Ability to design multi-page Transaction Summary Memo with the following page views/attributes. The system should provide a page for the user (or users) to create multi-page document with different layouts, shapes, text, etc. based on a pre-defined Transaction Summary Memo template.",Must Have,ABC_SP_WS4_Transaction Summary Memo_31.07.23_DRAFT.pptx,Investment,,,,,N
,295,Execution,Transaction Execution,28. Prepare Transaction Summary Memo,"- Ability to create a cover page with pre-defined layouts, images, text areas,  etc.",Must Have,ABC_SP_WS4_Transaction Summary Memo_31.07.23_DRAFT.pptx,Investment,,,,,N
,296,Execution,Transaction Execution,28. Prepare Transaction Summary Memo,"- Ability to create a project name (with Greenfield/Brownfield user-select drop-down) page with different shapes, tables, maps, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration) ",Must Have,ABC_SP_WS4_Transaction Summary Memo_31.07.23_DRAFT.pptx,Investment,,,,,N
,297,Execution,Transaction Execution,28. Prepare Transaction Summary Memo,"- Ability to create additional pages as per requirement with different shapes, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration).",Must Have,Workshop,Investment,,,,,N
,298,Execution,Transaction Execution,28. Prepare Transaction Summary Memo,"- Ability to download the Transaction Assessment Memo in MS PowerPoint, PDF or MS Word format. The system should ensure separate formatting for both MS PowerPoint and Word file formats of the Transaction Assessment Memo",Must Have,Workshop,Investment,,,,,N
,299,Execution,Transaction Execution,28. Prepare Transaction Summary Memo,Ability to link any document in the Document Management System from any page and directly access the document. Ability to add any additional document to the list (through drop-down) and upload the document in DMS. Ability to upload full Transaction Summary Memo in Document Management System.,Must Have,Workshop,Investment,,,,,Y
,300,Execution,Transaction Execution,28. Prepare Transaction Summary Memo,Ability to generate a Memo for arranging approval of different requests/waivers based on predefined template,Must Have,Workshop,Investment,,,,,N
,301,Execution,Transaction Execution,28. Prepare Transaction Summary Memo,Ability to add/update/delete any attribute to the Transaction Assessment Memo template,Must Have,Workshop,Investment,,,,,N
,302,Execution,Transaction Execution,29. Send Transaction Details to Investment Management,Ability to create transaction record data (with all necessary master data) that needs to be transferred to the Investment Management System for investment booking,Must Have,Workshop,Investment,,,,,N
,303,Execution,Transaction Execution,29. Send Transaction Details to Investment Management,Ability to validate the transaction record data based on pre-defined rules before transferring the data to the Investment Management System,Must Have,Workshop,Investment,,,,,N
,304,Execution,Transaction Execution,29. Send Transaction Details to Investment Management,Ability to send transaction details to the Investment Management System through the integration interface,Must Have,Workshop,Investment,,,,,N
,,"Planning, Coverage, Assessment, Structuring, Execution (Transaction Summary Dashboard)",,,,,,,,,,,
,,"Planning, Coverage, Assessment, Structuring, Execution",,,,,,,,,,,
,305,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,Ability to provide a dashboard (for transactions summary for transaction monitoring and reporting from the pipeline database) with the below views/attributes. The system should provide a page for the user to view/monitor the transaction summary and generate reports,Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,306,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,- The view should be specific to the logged-in user from Business or Investment team,Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,307,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"- The view should provide the ability to refresh the transaction summary based on the selection of ""Starting Period of Initial Monitoring"" with Quarter (Q1, Q2, Q3, Q4) and Year (2021, 2022, 2023, …)",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,308,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"- The view should include a summarized table with Project Value, ABC Participation Amount, # of Transactions for different approval states of the transactions e.g. Transactions Passed the NBWG, Transactions Declined from NBWG, etc. The system should be able to automatically calculate these statistics (based on the information in pipeline DB).",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,309,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"- The view should include a summarized table (for Business team) with # of Transactions, Project Value, ABC Participation Amount, Average ABC Participation for different stages of the transactions e.g. Transactions Under Engagement, Transactions Under Screening, etc. The system should be able to automatically calculate these statistics (based on the information in pipeline DB).",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,Business,,,,,N
,310,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"- The view should include a summarized table (for Investment team) with # of Transactions, Project Value, ABC Participation Amount, Average ABC Participation for different stages of the transactions e.g. Transactions Under Assessment, Active Deal Phase, etc. The system should be able to automatically calculate these statistics (based on the information in pipeline DB).",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,Investment,,,,,N
,311,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"- The view should include a summarized table with Transactions Under Engagement, Initial Transaction Monitoring, Transaction Screening, Transaction Put On Hold by Business, Transaction Under Assessment, Transactions In Active Deal Phase, Transactions Under Execution, Transactions Signed, Transaction Put On Hold by Investments, and Transaction Declined to define the conversion ratio for each phase. The system should be able to automatically calculate these statistics (based on the information in pipeline DB).",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,312,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,- Provide bar chart visualization for the conversion ratio for each phase. The system should provide the capability to change the chart types and chart styles as per user requirements. ,Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,313,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"- The view should include a summarized table with Transactions Under Engagement, Initial Transaction Monitoring, Transaction Screening, Transaction Put On Hold by Business, Transaction Under Assessment, Transactions In Active Deal Phase, Transactions Under Execution, and Transaction Put On Hold by Investments to define the turn-around time through phases (days). The system should be able to automatically calculate these statistics (based on the information in pipeline DB).",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,314,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,- Provide bar chart visualization for the turn-around time through phases (days). The system should provide the capability to change the chart types and chart styles as per user requirements. ,Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,315,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,Ability to support user-specific customize the dashboard from the UI (drag and drop) for monitoring the transactions and generating reports with different visualizations ,Must Have,Workshop,"Business, Investment",,,,,N
,316,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"Ability to export default and user-specific reports (transaction summary) in PFD, MS Word and PowerPoint formats",Must Have,Workshop,"Business, Investment",,,,,N
,317,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"Ability to store all transactions (in Pipeline DB) with all attributes of new opportunity and provide visualization (table view) to the Business and Investment teams. The system should be able to automatically update the transaction specific statistics (e.g. approval status, number of days in each state, etc.) based on the transaction approval lifecycle.",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,"Business, Investment",,,,,N
,318,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,Ability to add/update/delete new metrics through a separate page of the CRM & Workflow solution for the reports and dashboard ,Must Have,Workshop,Business,,,,,N
,319,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,Ability to retrieve the new opportunity for Single Deal Review with the same details as entered during the addition of the opportunity (A button should open a page for user to view the opportunity details),Must Have,Industry Standard,Business,,,,,N
,320,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,Ability to monitor Business team (and user) allocations to the opportunities (at various phases of the transactions) and generate reports with different visualizations,Must Have,Workshop,Business,,,,,N
,321,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,Ability to monitor Business team (and user) allocations to the opportunities (with different status of the transactions) and generate reports with different visualizations,Must Have,Workshop,Business,,,,,N
,322,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"Ability to monitor Business team (and user) performance based on the metrics e.g. number of opportunities closed, the total number of opportunities handled, turnaround time for deal closure, etc.",Must Have,Workshop,Business,,,,,N
,323,"Planning, Coverage, Assessment, Structuring, Execution",Monitoring and Reporting,B. View Opportunity Summary Dashboard,"Ability to provide transaction process visualization with information on the current status of the transaction for improved monitoring. Ability export transaction process snapshot in image, PDF, MS Word and PowerPoint format for reporting.",Must Have,Workshop,"Business, Investment",,,,,N
,,Monitoring,,,,,,,,,,,
,,Monitoring,Transaction Monitoring,,,,,,,,,,
,324,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to create multi-page Classification Credit Review Memo with the following page views/attributes. The system should provide a page for the user (or users) to create multi-page document with different layouts, shapes, text, etc. based on a pre-defined Classification Credit Review Memo template.",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,325,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for summary including fields e.g. date, counterparty name, existing classification, etc. with pre-defined layouts, tables, images, text areas, etc. User should be able to fetch the required information from the existing transaction and update as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,326,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create an exposure page including  fields e.g. facilities, commitment amount, exposure amount, etc. with pre-defined layouts, tables, images, text areas, etc. User should be able to fetch the required information from the existing transaction, from the risk management system and update as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,327,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for  collateral / security with pre-defined layouts, tables, images, text areas, etc. User should be able to fetch the required information from the existing transaction and update as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,328,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for indirect counterparty details including fields e.g. Sponsors & Minority Sponsors, EPC Contractor, etc. with pre-defined layouts, tables, images, text areas, etc. User should be able to fetch the required information from the existing transaction and update as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,329,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for reason for classification with pre-defined layouts, tables, images, text areas, etc. User should be able to update fields as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,330,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for financial details with pre-defined layouts, tables, images, text areas, etc. User should be able to update the fields as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,331,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for trigger for re-classification with pre-defined layouts, tables, images, text areas, etc. User should be able to update the fields as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,332,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for latest updates with pre-defined layouts, tables, images, text areas, etc. User should be able to update the fields as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,333,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for assessment of recovery prospect with pre-defined layouts, tables, images, text areas, etc. User should be able to update the fields as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,334,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for action plans with pre-defined layouts, tables, images, text areas, etc. User should be able to update the fields as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,335,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for reviewer comments with pre-defined layouts, tables, images, text areas, etc. User should be able to update the fields as required",Must Have,Classified Credit Review Memo- 05.10.23_ABC.docx,Investment,,,,,N
,336,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to download the Classification Credit Review Memo in MS PowerPoint, PDF or MS Word format. The system should ensure separate formatting for both MS PowerPoint and Word file formats of the Classification Credit Review Memo",Must Have,Workshop,Investment,,,,,N
